model,mu,omega,alpha,beta,alpha_plus_beta,nu,log_likelihood,aic,bic
"Normal GARCH(1,1)",-0.03092389455254097,0.57112673439068,0.1930736611775816,0.6681407018933628,0.8612143630709445,,-5040.525448000757,10089.050896001514,10112.306878701525
"Student-t GARCH(1,1)",-0.08758285522897348,0.7419402112601444,0.3319879930025875,0.560606870459686,0.8925948634622736,3.8281357744354567,-4910.630768192645,9831.26153638529,9860.331514760303
